;;;;;;;;;;;;;
500001.T;The Purchase of Greenland?;;;;;;;;;;;;;
500001.D;Stating Greenland's Proximity to Vinland, we have been approached to sell Greenland. Shall We?;;;;;;;;;;;;;
500001.A;Let's do it, it's worthless anyway;;;;;;;;;;;;;
500001.B;Greenland is an integral part of Scandinavia and is not for sale!;;;;;;;;;;;;;
500002.T;Scandinavia Agrees!;;;;;;;;;;;;;
500002.D;Scandinavia has agreed to sell us Greenland!;;;;;;;;;;;;;
500002.A;Great!;;;;;;;;;;;;;
500003.T;Scandinavia Refuses!;;;;;;;;;;;;;
500003.D;Scandinavia has declined our request to purchase Greenland off of them;;;;;;;;;;;;;
500003.A;What a shame;;;;;;;;;;;;;
500011.T;Our Next Steps;;;;;;;;;;;;;
500011.DE;With Arcadia and Ameriga now a reality, we must act! Our Government is split between pursuing military campaigns to secure more land or to liberalise and open up to immigrants, what shall we do?;;;;;;;;;;;;;
500011.A;We must prevent Arcadia from reaching the Pacific coast at all costs!;;;;;;;;;;;;;
500011.B;We must cut arcadia down to size before they dominate the New World!;;;;;;;;;;;;;
500011.C;The Incas have been a thorn in our side for too long, this must be rectified...;;;;;;;;;;;;;
500011.D;We must seize the Amazon for ourselves to ensure Amergia stays irrelevant;;;;;;;;;;;;;
500011.E;We must strive to attract more people to our country;;;;;;;;;;;;;
500021.T;The Incan Retaliation!;;;;;;;;;;;;;
500021.D;Our claims and our settlers repeated incursions have left the Incas feeling no other choice but to try to banish us to the history books! We must take up arms and try to repel the attackers or risk losing our nation!;;;;;;;;;;;;;
500021.A;May King Arthur guide us to victory!;;;;;;;;;;;;;
500022.T;The Inca's Noble Mission;;;;;;;;;;;;;
500022.D;Our leader has decided to declare that our nation has one noble mission that will be the cornerstone of our future foreign and domestic policies. From today all...;;;;;;;;;;;;;
500022.A;...slaves and former slaves and their decendants shall be citizens of our Empire!;;;;;;;;;;;;;
500022.B;...Native new worlders, regardless of locations on the continents, shall be citizens of our Empire!;;;;;;;;;;;;;
500023.T;Sell Trinidad?;;;;;;;;;;;;;
500023.D;The nation of New Courland has approached us to buy the isle of Trinidad, what shall we say?;;;;;;;;;;;;;
500023.A;Sounds like a good deal!;;;;;;;;;;;;;
500023.B;Trinidad is better off under Colombian Leadership;;;;;;;;;;;;;
500023A.T;Gran Colombia Agrees!;;;;;;;;;;;;;
500023A.D;Gran Colombia has agreed to sell us the island of Trinidad;;;;;;;;;;;;;
500023A.A;Rejoice!;;;;;;;;;;;;;
500023B.T;Gran Colombia Refuses!;;;;;;;;;;;;;
500023B.D;Gran Colombia has refused to sell us the island of Trinidad;;;;;;;;;;;;;
500023B.A;What a Shame...;;;;;;;;;;;;;
500024.T;Sell Bermuda?;;;;;;;;;;;;;
500024.D;The nation of New Courland has approached us to buy the isle of Bermuda, what shall we say?;;;;;;;;;;;;;
500024.A;Sounds like a good deal!;;;;;;;;;;;;;
500024.B;Bermuda is too much of a strategic location to sell;;;;;;;;;;;;;
500024A.T;Bermuda Sold!;;;;;;;;;;;;;
500024A.D;Through much haggling, we now have the isle of Bermuda!;;;;;;;;;;;;;
500024A.A;Rejoice!;;;;;;;;;;;;;
500024B.T;Bermuda negotiations break down;;;;;;;;;;;;;
500024B.D;Despite our best efforts, we have been unable to purchase Bermuda;;;;;;;;;;;;;
500024B.A;What a Shame...;;;;;;;;;;;;;
500025.T;The Desitny of New Courland;;;;;;;;;;;;;
500025.D;Now we have united the Caribbean Archipelago, we must decide on what steps our country should take next. What shall it be?;;;;;;;;;;;;;
500025.A;We Shall Return home to the Baltics at once!;;;;;;;;;;;;;
500025.B;We Shall dominate the Atlantic ocean!;;;;;;;;;;;;;
500025.C;We should settle down now, our islands are a tropical paradise that people would love to live in!;;;;;;;;;;;;;
500031.T;The Sale of Timor?;;;;;;;;;;;;;
500031.D;Zhorauo have approached us to buy the isles of timor off of us. What shall we Say?;;;;;;;;;;;;;
500031.A;Let's sell these islands, they are of little importance anyway;;;;;;;;;;;;;
500031.B;They shall remain part of our empire for now, we need the naval bases!;;;;;;;;;;;;;
500032.T;They Accepted!;;;;;;;;;;;;;
500032.D;We have successfully purchased the isles that compose the colony of Timor!;;;;;;;;;;;;;
500032.A;Nice!;;;;;;;;;;;;;
500033.T;They Refused!;;;;;;;;;;;;;
500033.D;Unfortunatley we have failed to convince them that the isles were worth selling to us;;;;;;;;;;;;;
500033.A;That's a pity;;;;;;;;;;;;;
500041.T;Our new Capital;;;;;;;;;;;;;
500041.DE;We are now choosing where to base our administration from for the foreseeable future. We have many candidates to choose from: Havana, Nova Lisbon, Mexico City, Andacoya City, Lisbon and Madrid and now it's time to choose;;;;;;;;;;;;;
500041.A;Havana, the pearl of the Caribbean shall be a fine Capital!;;;;;;;;;;;;;
500041.B;Nova Lisbon and the Rio Grande shall be a good place for our capital!;;;;;;;;;;;;;
500041.C;Mexico City was Gran Colombia's beating heart and shall now be our capital!;;;;;;;;;;;;;
500041.D;Andacoya City is a new city at our geographic heart, perfect for a modern capital!;;;;;;;;;;;;;
500041.E;Lisbon, the old capital of Portugal, will be a great capital!;;;;;;;;;;;;;
500041.F;Madrid, our existing capital, shall remain our glorious capital!;;;;;;;;;;;;;
annexpuppet.T;We're getting Annexed!;;;;;;;;;;;;;
annexpuppet.D;It's over, there is nothing we can do, our overlord is going to annex us!;;;;;;;;;;;;;
annexpuppet.A;R.I.P;;;;;;;;;;;;;
500051.T;Italian Irredetism;;;;;;;;;;;;;
500051.D;We are now choosing which path to follow, a focus on our latin brothers or focus on control of the adriatic;;;;;;;;;;;;;
500051.A;We must build a latin empire to rival ancient Rome itself!;;;;;;;;;;;;;
500051.B;We must focus on control of the adriatic and the balkans!;;;;;;;;;;;;;
500071.T;Formation of the Rhenish Confederacy;;;;;;;;;;;;;
500071.DE;We have proclaimed the Confederation of the Rhine, however our old burgundian lands are now becoming a contentious issue due to our new continetal hegemony. What shall be our reaction?;;;;;;;;;;;;;
500071.A;Cede France and Free Lorraine;;;;;;;;;;;;;
500071.B;Cede France and Puppet Lorraine;;;;;;;;;;;;;
500071.C;Cede France;;;;;;;;;;;;;
500071.D;Large Lorraine Puppet;;;;;;;;;;;;;
500071.E;Keep all Land;;;;;;;;;;;;;
500072.T;The first Choice was selected;;;;;;;;;;;;;
500072.D;This event is here because the event chain was too large to put in one event;;;;;;;;;;;;;
500072.A;Okay;;;;;;;;;;;;;
500073.T;The second Choice was selected;;;;;;;;;;;;;
500073.D;This event is here because the event chain was too large to put in one event;;;;;;;;;;;;;
500073.A;Okay;;;;;;;;;;;;;
500074.T;The third Choice was selected;;;;;;;;;;;;;
500074.D;This event is here because the event chain was too large to put in one event;;;;;;;;;;;;;
500074.A;Okay;;;;;;;;;;;;;
500075.T;The fourth Choice was selected;;;;;;;;;;;;;
500075.D;This event is here because the event chain was too large to put in one event;;;;;;;;;;;;;
500075.A;Okay;;;;;;;;;;;;;
500076.T;The fifth Choice was selected;;;;;;;;;;;;;
500076.D;This event is here because the event chain was too large to put in one event;;;;;;;;;;;;;
500076.A;Okay;;;;;;;;;;;;;
CONGR15.D;The creation of the Kingdom of Arles has led to a renewed era of tensions in Italy, France and Burgundy. The Great Powers have assembled in $CAPITAL$ on the behest of $COUNTRY$ to put aside their grudges temporalily and establish a new set of international laws to avoid one state to take too much power at the expense of the others. It is the beginning of a new era for international relations and hopefully for peace!;;;;;;;;;;;;;
CONGR16.D;Burgundy has taken the seat of traditional French power to proclaim a new French Kingdom, threatening the old balance of power. The Great Powers have assembled in $CAPITAL$ on the behest of $COUNTRY$ to put aside their grudges temporalily and establish a new set of international laws to avoid one state to take too much power at the expense of the others. It is the beginning of a new era for international relations and hopefully for peace!;;;;;;;;;;;;;
CONGR17.D;The creation of the Confederation of the Rhine by Burgundy has broken the German order, with Burgundy clearly the prime power of Central and Western Europe. The Great Powers have assembled in $CAPITAL$ on the behest of $COUNTRY$ to put aside their grudges temporalily and establish a new set of international laws to avoid one state to take too much power at the expense of the others. It is the beginning of a new era for international relations and hopefully for peace!;;;;;;;;;;;;;
CONGR18.D;The reconquest and integration of the spanish colonies back under the spanish crown has threatened to upset the balance of power! The Great Powers have assembled in $CAPITAL$ on the behest of $COUNTRY$ to put aside their grudges temporalily and establish a new set of international laws to avoid one state to take too much power at the expense of the others. It is the beginning of a new era for international relations and hopefully for peace!;;;;;;;;;;;;;
500081.A;A new era of diplomacy begins.;;;;;;;;;;;;;
500082.A;A new era of diplomacy begins.;;;;;;;;;;;;;
500083.A;A new era of diplomacy begins.;;;;;;;;;;;;;
500084.A;A new era of diplomacy begins.;;;;;;;;;;;;;
500085.T;Discovery of the North-West Passage!;;;;;;;;;;;;;
500085.D;Our intrepid explorers have finally made it across the dangerous waters of the Vinlandic arctic circle! Now with it chartered we can use this for shipping in the warm summer months!;;;;;;;;;;;;;
500085.A;A great day for commerce, explorers and cartographers alike!;;;;;;;;;;;;;
500086.T;Discovery of the North-East Passage!;;;;;;;;;;;;;
500086.D;Our intrepid explorers have finally made it across the dangerous waters of the Siberian arctic circle! Now with it chartered we can use this for shipping in the warm summer months!;;;;;;;;;;;;;
500086.A;A great day for commerce, explorers and cartographers alike!;;;;;;;;;;;
500101.T;Following the Rivers;;;;;;;;;;;;;
500101.D;Central Europe is dominated by 3 major rivers: the Rhine, the Elbe and our namesake, the Danube. Strategists and advisors are currently debating on which of these rivers we should focus on given the simmering tension in Europe in order to provide security and resources. The have come up with 3 options and it's now time to decide which one we should proceed with;;;;;;;;;;;;;
500101.A;Advance up the Rhine to the Ruhr Valley!;;;;;;;;;;;;;
500101.B;Advance up the Elbe via the Vltava!;;;;;;;;;;;;;
500101.C;Consolodate our hold on the Danube!;;;;;;;;;;;;;
502001.T;Aftermath of the Ottoman Civil War;;;;;;;;;;;;;
502001.D;With the dust not at all settled it is already becoming clear that we will need to reform and focus on one path in order to have any chance of restoring any pride in our nation. Question is what shall be do? The advisors to the sultan have come up with 3 options, which one should we choose?;;;;;;;;;;;;;
502001.A;Restore our Rule over the Balkans!;;;;;;;;;;;;;;
502001.B;Restore our Rule over Arabia and Egypt!;;;;;;;;;;;;;;;
502001.C;Pursue the Turan ambition!;;;;;;;;;;;;;;;
600001.T;The Return of Vinland;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
600001.D;Vinland has retuned to Europe and is claiming the western shores of Scandinavia. We need to choose a response!§R (NOTE: Option A will not allow us to core Vinland or gain Vinlander as an accepted culture whilist Options B and C will!)§!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
600001.A;Option A: We will bide our time for now.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
600001.B;Option B: We shall claim Vinland for ourselves once we deal with the invasions;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
600001.C;Option C: Let us go to war right now and end this rebellion!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
600002.T;Loss of Scotland;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
600002.D;When we decided to focus on and integrate the Baltic, it alienated our subjects in Scotland to the point where now, under new management, the people there and the wider global powers no longer see our claim to the land as legitimate.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
600002.A;But the Haggis...;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
600003.T;Loss of Livonia;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
600003.D;When we decided to focus on and integrate the British Isles, it alienated our subjects in Livonia to the point where now, under new management, the people there and the wider global powers no longer see our claim to the land as legitimate.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
600003.A;But the Core Ports...;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
600004.T;Loss of Pomerania and Prussia;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
600004.D;When we decided to focus on and integrate the British Isles, it alienated our subjects in Pomerania and Prussia to the point where now, under new management, the people there and the wider global powers no longer see our claim to the land as legitimate.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
600004.A;But the Swedes...;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
600007.T;Congress of San Salvador;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
600007.D;Now with the Spanish repelled, it is now time to decide what path our country should take. Mexican and Granadan dignitaries both argue for pushing our population advantage in order to establish a hegemon over Arcadia and Ameriga respectively whilist the Salvadorians instead suggest we prioritise stabilising and centralising our country. What shall we do?;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
600007.A;Pursue Dominance over Arcadia;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
600007.B;Pursue Dominance over Ameriga;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
600007.C;Centralise and Integrate the lands we already control;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
600008.T;The Purchase of Guiana?;;;;;;;;;;;;;
600008.D;Stating Guiana's Proximity to them, we have been approached to sell Guiana. Shall We?;;;;;;;;;;;;;
600008.A;Let's do it, it's worthless anyway;;;;;;;;;;;;;
600008.B;Guiana is too valuable to sell;;;;;;;;;;;;;
600009.T;They Agree!;;;;;;;;;;;;;
600009.D;They has agreed to sell us Guiana!;;;;;;;;;;;;;
600009.A;Great!;;;;;;;;;;;;;
600010.T;They have refused!;;;;;;;;;;;;;
600010.D;They has declined our request to purchase Guiana;;;;;;;;;;;;;
600010.A;What a shame;;;;;;;;;;;;;
